condition,episode_index,evaluation_seed,episode_length,episode_return,native_cost_total,gold_stl_cost_total,goal_events,goal_success,minimum_distance,trigger_count,recovery_count,late_recovery_count,deadline_violation_count,terminal_unresolved_count,on_time_recovery_latency_sum,deadline_violation_delay_sum,terminal_unresolved_delay_sum,positive_cost_step_count,completed_window_count,trace_robustness,online_oracle_agreement,rtamt_max_robustness_difference
native_safety,15,29188,1000,10.329272327590388,22.0,1,4,True,0.03281128406524658,3,2,1,1,0,22,25,0,1,3,-0.03977653264999392,True,0.0
native_safety,16,29189,1000,9.654686652704527,72.0,2,3,True,0.06298363208770752,2,0,2,2,0,0,50,0,2,2,-0.036850957870483425,True,0.0
native_safety,17,29190,1000,7.143961167722864,21.0,1,2,True,0.046520769596099854,1,0,1,1,0,0,25,0,1,1,-0.03779795646667483,True,0.0
native_safety,18,29191,1000,8.107522356151321,0.0,1,3,True,0.2017453908920288,1,0,1,1,0,0,25,0,1,1,-0.010351448059082058,True,0.0
native_safety,19,29192,1000,8.991334450165596,46.0,1,3,True,0.021473586559295654,2,1,0,1,0,20,25,0,1,2,-0.03375837087631228,True,0.0
stl_dense_safety,0,29173,1000,8.019851958636764,23.0,1,3,True,0.07072055339813232,2,1,1,1,0,15,25,0,1,2,-0.04230424642562869,True,0.0
stl_dense_safety,1,29174,1000,8.024002106893022,46.0,2,3,True,0.04722404479980469,3,1,2,2,0,13,50,0,2,3,-0.03207823514938357,True,0.0
stl_dense_safety,2,29175,1000,6.755617043480015,106.0,1,2,True,0.15657037496566772,2,1,1,1,0,20,25,0,1,2,-0.030763595104217556,True,0.0
stl_dense_safety,3,29176,1000,8.400049819137507,87.0,4,3,True,0.01677846908569336,5,1,3,4,0,10,100,0,4,5,-0.04302915811538699,True,0.0
stl_dense_safety,4,29177,1000,8.36565993656859,15.0,0,3,True,0.15754008293151855,1,1,0,0,0,25,0,0,0,1,0.005866618156433079,True,0.0
stl_dense_safety,5,29178,1000,8.13528119365401,96.0,2,3,True,0.1474921703338623,4,2,2,2,0,45,50,0,2,4,-0.036881356239318874,True,0.0
stl_dense_safety,6,29179,1000,9.53659718945255,42.0,1,3,True,0.03524583578109741,3,2,1,1,0,44,25,0,1,3,-0.02984037876129153,True,0.0
stl_dense_safety,7,29180,1000,7.645111585374252,66.0,2,3,True,0.017581164836883545,3,1,2,2,0,11,50,0,2,3,-0.043198494911193874,True,0.0
stl_dense_safety,8,29181,1000,8.960941425371402,83.0,4,3,True,0.030448615550994873,5,1,4,4,0,10,100,0,4,5,-0.0372245001792908,True,0.0
stl_dense_safety,9,29182,1000,7.8199273437453485,13.0,1,3,True,0.18207299709320068,2,1,1,1,0,20,25,0,1,2,-0.03634670257568362,True,0.0
stl_dense_safety,10,29183,1000,6.5896951717900265,66.0,2,2,True,0.03557306528091431,4,2,2,2,0,33,50,0,2,4,-0.04152676343917849,True,0.0
stl_dense_safety,11,29184,1000,9.150769319136089,125.0,4,3,True,0.009753406047821045,5,1,4,4,0,20,100,0,4,5,-0.04259464025497439,True,0.0
stl_dense_safety,12,29185,1000,14.944473175258281,29.0,1,5,True,0.041572630405426025,2,1,1,1,0,11,25,0,1,2,-0.043854742050170925,True,0.0
stl_dense_safety,13,29186,1000,9.596491895888903,20.0,1,3,True,0.11271607875823975,3,2,1,1,0,34,25,0,1,3,-0.025211064815521267,True,0.0
stl_dense_safety,14,29187,1000,10.5938370375261,55.0,2,4,True,0.03879225254058838,4,2,2,2,0,28,50,0,2,4,-0.03774288177490237,True,0.0
stl_dense_safety,15,29188,1000,8.204250186071022,0.0,0,3,True,0.20780682563781738,2,2,0,0,0,31,0,0,0,2,0.12382140874862668,True,0.0
stl_dense_safety,16,29189,1000,8.015476434549782,8.0,1,3,True,0.19247514009475708,2,1,1,1,0,17,25,0,1,2,-0.03231713056564334,True,0.0
stl_dense_safety,17,29190,1000,8.616572417666248,23.0,1,3,True,0.06132441759109497,1,0,1,1,0,0,25,0,1,1,-0.048565952777862575,True,0.0
stl_dense_safety,18,29191,1000,8.187355967563235,0.0,0,3,True,0.2282702922821045,1,1,0,0,0,17,0,0,0,1,0.08815232038497922,True,0.0
stl_dense_safety,19,29192,1000,6.331036069485208,21.0,1,2,True,0.06265854835510254,1,0,1,1,0,0,25,0,1,1,-0.03374084711074832,True,0.0
