evaluation_seed,outside_physical_radius_fraction,outside_warning_radius_fraction,outside_safe_radius_fraction,hazard_0_x,hazard_0_y,hazard_1_x,hazard_1_y,hazard_2_x,hazard_2_y,hazard_3_x,hazard_3_y,hazard_4_x,hazard_4_y,hazard_5_x,hazard_5_y,hazard_6_x,hazard_6_y,hazard_7_x,hazard_7_y
10000,0.8890961468416463,0.5129523956689219,0.36470899879692276,0.08701443562505684,1.035247217372704,-0.6808728281727159,-0.2174812488515674,-0.9564728878507722,-1.1859048898382947,1.1306879010615296,0.7390683755200202,0.5134127034455198,1.1970780819194096,-0.7303375663706521,1.3134484834456066,0.21801909598071,0.17431167983403562,1.101293067560077,-1.2041800653159611
10001,0.8890188850012694,0.5159545700378583,0.3643116521892694,-0.9036719734969095,1.0354921031225472,0.5121765999393577,1.0571987396641547,-0.4187454054455305,-0.601566609349769,0.007479417006611255,-0.9951056493821437,0.866030768963838,0.5727947400289752,-0.17097883605593434,0.022933773319758766,-0.9580395387821452,-0.6155715927608764,-1.100061510927607,-0.00908918876151077
10002,0.8892065208993278,0.5167382258473968,0.4206796834472026,1.14933691190265,-1.0110177603248032,0.35699875002469006,-0.7996519307120397,-1.0315829052568883,-0.20919052772264712,1.2440324805283078,-0.12988299045937213,-0.28607440591820543,-0.7285664166534235,-0.9573079483150615,-0.7908917574594297,-0.3085251643451028,0.04154371172272997,0.4204248708457874,-0.04112358753899836
10003,0.8890961468416463,0.5434597852120837,0.4199732894780411,-0.43811137466642525,0.53462606137418,-0.4672533155133405,-0.9306778024361704,0.08068527253671798,0.1801546059519148,-1.2914482018428217,0.09635443813728828,-1.1593857908370837,0.8275997634342074,0.01287195114596229,-0.3497442346945041,0.6782177031104635,0.8619425482241325,-0.5711270255835529,0.9954189517642706
10004,0.8889636979724286,0.5475877749693712,0.4245538128718226,-0.16783121625235964,0.5429868982479942,0.5540188094738729,-0.8213390062026096,1.1521497278903021,-1.170338661265349,0.9264136097211744,0.20237923837790017,0.4326137444118525,0.2360127044250877,1.0740138885423238,-0.4841885079336058,0.9407540491065245,1.3026695566511044,-1.2566277636926007,1.009265871179213
10005,0.8891292590589508,0.5336364940784318,0.3873136058100904,0.42063334088039483,-0.9864976118749849,1.2660079010253706,-0.06075420002704357,-0.8390328783861303,-0.21230279777802608,-1.2493683450618631,0.8431404438695538,-0.5329274935047672,0.5691232521815228,0.22609320155591672,0.8069837951693766,0.6296571895735141,0.7735475049555876,0.9925471732984874,-0.40291148773917285
10006,0.8889416231608923,0.535512853059017,0.415425878301564,-0.36045748113395737,-0.5926642965159108,1.027257783719658,-0.9580056147972047,0.7042047323571621,-0.3362846468861941,-1.0561747060463575,-0.427446596884961,-0.9073064692128967,-1.126824202693671,0.45452655438162193,-1.0617836842102912,-0.44781571087563177,-1.0751318826808243,-0.201830710349993,0.7516623415902417
10007,0.8890299224070375,0.5221244798622532,0.36314168717784573,-1.0417710092702936,-0.9780407920682654,-0.5557487636571183,-1.066965382699494,-0.24559988896115104,1.1253555897145222,0.9755181685877437,0.6779272890745001,-0.8907740392079802,-0.45627710164971913,0.9269552686839264,-0.8425782623109648,-0.10984267672824122,-0.8798825098800541,-0.011407657142096461,-0.21005772108034781
10008,0.8889416231608923,0.5151157271994791,0.36730278915243764,-1.1680749926033036,-0.19386720090224063,-0.3528919092305287,0.5939256120188279,-0.7755624379138902,-0.4689517947034464,-0.8831019271136471,0.25887638778243516,0.7486897923494877,1.1341158431776008,1.192083466669635,-0.2818864886479553,-0.14467312694633327,-1.0147384923141374,0.358591289192564,0.04008916970025722
10009,0.8892396331166322,0.5766161521396012,0.4404145649606516,-0.34842833298635856,-0.7631236625628377,1.2754746748397514,0.9747402078833305,0.9905085364277955,-1.1404969756943706,-0.3512834049245873,0.8477772938799186,-0.9992680186503322,-0.7240412595760941,0.14650056660751853,0.8770097492255384,-0.09017227863711685,0.5621306976066376,0.38881652615594997,1.1730104409722546
10010,0.8893610445800819,0.5706338782132647,0.4357126301034205,0.9718189963345949,0.8383607332094132,0.05483596884014941,-0.5080182063379284,0.0637082019796098,1.218944665303199,-0.3508978783019162,-0.6056896295723686,0.2891791979498337,-0.8086388585954938,-0.6720195458845286,1.0453836346184795,0.6984077839481768,-0.1587685703073498,0.7157627086657954,-0.671409388719619
10011,0.8891071842474145,0.5345967483802607,0.4028984227547157,-1.3140747268068331,1.0670828721806156,0.7955491535693764,0.11748672763041257,-1.1849417943963587,-0.5189157704050599,-0.8811822508283775,1.0779806329622594,0.7944168203427096,-0.7508745503838379,1.18433341147613,0.6420715812533087,-0.11564594669943196,0.6348664564899722,0.005704143177017507,1.2918012418629405
10012,0.8891513338704871,0.5445083387600579,0.4197194291453737,-0.9814081600718886,-0.31829543014228956,0.9363479740674052,1.183268451318898,-1.2801771788164444,-0.5907360637994095,0.5376987178325956,-0.19032931881416082,0.24039688912599022,1.3095679854101905,0.15865342773510882,-1.0872249992506573,0.902918686018946,-0.792691555321629,-0.580113348755514,-0.8132994906277115
10013,0.8891513338704871,0.5820907054006026,0.4616063840354963,-0.07104239858248818,-0.5929581208552493,1.314020578268629,-0.6428950567768599,-0.3857676155680373,-0.26306200797450985,-0.759522194941276,-0.07100486829435892,1.136408654131429,-0.08640615797898299,0.466587283934049,0.8989162834783626,1.0958745275045227,0.6192019796502077,-0.35061945801318684,-0.9068698006457447
10014,0.8890078475955011,0.6222999746139667,0.5180737519453428,1.1562387932020337,-0.021984127253660057,0.7237556898589912,-0.09834994852906598,0.21754299726411652,0.48093427112508125,0.14942290487123278,-1.2717458972548168,-0.17333884211363704,0.9246285609988412,0.5360366070445144,-1.1178100280929233,0.3880009814626204,0.109238529211791,-0.5496516899335904,0.6594827544639141
10015,0.8892065208993278,0.587024425778965,0.4963079877705544,0.6104015926044188,0.3226682056926893,0.46843242151500464,1.057555981732224,0.8508871239872293,1.1349282018159645,-0.7398477779478407,-1.0412721676603027,-1.2719183868756478,-0.8434715915101988,-0.20262099585204774,1.3177703546287807,1.2471768930118146,0.7086792331092819,-0.4082822825582718,0.7949279741526982
10016,0.8891513338704871,0.5678634893654595,0.4158342623149855,-1.3149817880469357,0.814954258517991,-0.8793865213357243,-0.8647927926374482,0.8593598738374089,-0.5008939310709364,0.24709643581844376,1.202499356036166,1.091604662939101,0.5459128957319428,-1.2962583263757368,0.40765117115301686,0.3583114941347696,0.7433389010032323,0.4792376199286317,-0.5815750841162617
10017,0.8895817926954449,0.5526208319996468,0.4231520623392678,-0.7249745401866563,0.5930526318087237,0.9422306248699759,0.3829507427228558,-0.6984238992996562,-1.210251341366081,0.32636953975292937,-0.3293933787998017,-0.8633528946051231,-0.8859912293635908,1.0403783389183874,1.1722956594643341,-0.24004751943808933,-0.730658059647647,-0.2009942287154438,-0.2241769718461335
10018,0.8893831193916182,0.5583602829990839,0.4311431441154071,0.4619251907015043,-0.178260451728399,-1.0586433044101953,0.2897413107259794,-1.2285607080457266,0.6246640495382423,-0.4465173767389241,1.1161982161830986,0.7982210655498563,1.163125293672053,0.08813216849715166,0.9385718398393357,0.06004031619409811,-0.34386567451086136,1.3021144378686655,-0.2825285075427355
10019,0.8891071842474145,0.5641328462158254,0.4300725157558967,-1.189043796076886,-0.7230908312679961,-0.626988577901631,-0.3244078265415141,1.148727837871111,0.17008509235277547,-0.34116448180519166,1.2521256261928937,-1.0424312229261126,0.7892343466841278,-0.436206879963148,0.8707136592195537,1.2587388625145735,-1.1708009935293178,1.0068324411708371,0.5571876448388555
10020,0.8889747353781967,0.5407666582046555,0.40718093619275725,1.2210307545780787,-1.2206361949167657,0.07739342625828316,1.2841737322615556,0.8041342506001332,0.8976635245184041,-0.9136832307733256,0.20509397358003056,0.6634388129605298,0.30788163933067736,0.9461982588316127,-0.7134861505942015,0.21640095972607631,-0.6835771751204143,1.1490799656677024,0.23967206080405812
10021,0.8890961468416463,0.5354576660301763,0.38481915210648887,-0.8837245865527775,-0.011466065349197363,0.1701352130259448,-1.3095764457799906,1.0762094512172415,0.535480380007902,-0.6601907508532255,-0.46069200481004147,0.5636015737530766,0.8745992436226195,0.24994995661533648,-0.2678599929494758,0.4773590255288973,0.4971410786625996,-0.3681419534554109,0.9169407583719409
10022,0.8891623712762552,0.5011975585258441,0.34283286056445295,-0.6268943462414714,0.006177998243338978,-1.2079304552030177,-0.8376341030340155,-0.01984342833074515,-1.1493773023117682,-0.9708816190869545,0.9212503311435991,0.5198338519360923,0.11811494267342182,0.5522354011520223,-0.4301854156721161,0.7606935615080868,-1.0507228568385378,1.107310657299452,0.2636464629983797
10023,0.8891734086820233,0.5284158011500977,0.38544828423527333,0.9997212094462398,1.3191277088285218,0.9377134431690941,-0.32573675772488764,0.1508623387339061,1.0479480012982012,-0.5340569755705609,-1.1788973125233229,-1.2671982082910926,-0.9774379764914685,-0.8912041575155303,-0.1438695023086458,-1.1516584967626635,0.8425439907139987,-1.2955728630901089,-0.015755850280633643
10024,0.8890519972185738,0.5333715963399962,0.4028984227547157,0.1392177271689652,-1.3072682563107385,-0.9286798158087921,0.9889577502683535,-0.18191201265768542,0.40111355877143273,-0.4464857237165145,-0.16937434501784288,0.22808177413810826,0.9872404677979596,-0.21255667570673564,1.0767523659095823,-1.2929680943064388,0.09248029694764814,1.1037035871104368,-1.0190597117382167
10025,0.889217558305096,0.5215284599507731,0.373141576803788,-0.2650885854457974,0.06291004195009542,-1.1156180136914133,0.020524943944183027,-1.1378450921537069,1.0020842613295369,1.316794169915111,-0.9041615943667958,0.1311422925358987,-1.20816278158828,0.11948993464903612,1.2280607193499262,0.12118206355163452,-0.6809616831497975,0.678115471444221,1.1213779970116715
10026,0.8889747353781967,0.5069149347137449,0.3401066213397203,-1.0754787379372837,0.5645019475750925,1.1810228914491783,-0.12624999549207327,-0.4864050676398173,1.161396198250684,-0.07427585368516887,0.7495689503068468,0.687380688540632,0.09575725602509211,-0.2737188316474761,-0.4980907366523164,-0.9944662182428459,-1.2107889136537404,0.47790283120489585,-1.254485302481604
10027,0.8891623712762552,0.4947075639341729,0.3431198331144248,0.3815004290783861,-0.15133191828494064,-0.2815597913578345,-0.9990426759846283,-0.4682332360624748,0.38291204925526023,1.157001324770184,-0.8574963350667366,0.10977711272069257,0.46654177522881257,-0.14235260090769786,1.0767212273915134,1.0844215462174163,0.38062408030234773,-1.0983381045319052,0.6883024784214105
