condition,training_seed,epret_first_20_mean,epret_last_20_mean,nativecost_first_20_mean,nativecost_last_20_mean,stlcost_first_20_mean,stlcost_last_20_mean,selectedalgorithmcost_first_20_mean,selectedalgorithmcost_last_20_mean,lagrangemultiplier_first_20_mean,lagrangemultiplier_last_20_mean
task_only,1101,5.923048174381256,23.85530948638916,67.63499999046326,61.06999969482422,1.7500000059604646,1.6499999940395356,0.0,0.0,0.0010000000474974513,0.0010000000474974513
task_only,2202,2.734943575039506,18.065989780426026,66.99499983787537,76.03000049591064,1.3700000002980233,1.8650000035762786,0.0,0.0,0.0010000000474974513,0.0010000000474974513
task_only,3303,8.389939245581626,25.616529178619384,58.89499946832657,48.71999998092652,1.6249999910593034,1.425000011920929,0.0,0.0,0.0010000000474974513,0.0010000000474974513
task_only,4404,6.555084799230099,25.02764654159546,90.28000011444092,55.10999984741211,2.0099999845027923,1.5049999833106995,0.0,0.0,0.0010000000474974513,0.0010000000474974513
task_only,5505,9.392929969727993,25.939818477630617,64.24500007629395,49.740000343322755,1.860000017285347,1.4400000035762788,0.0,0.0,0.0010000000474974513,0.0010000000474974513
native_cost,1101,3.4683225244283675,10.924181413650512,82.67500023841858,43.695000076293944,1.489999994635582,1.3700000017881393,82.67500023841858,43.695000076293944,0.2682695241528563,2.4011192679405213
native_cost,2202,2.2774419710040092,10.93597640991211,59.780000591278075,48.964999961853025,1.2449999839067458,1.5499999940395355,59.780000591278075,48.964999961853025,0.26698246886953714,2.7597228646278382
native_cost,3303,9.037437723577023,20.771026515960692,61.97499996200204,55.979999732971194,1.8649999707937241,1.5299999952316283,61.97499996200204,55.979999732971194,0.17636466887779534,2.77994419336319
native_cost,4404,5.979841789603233,15.217086744308471,65.80499935150146,50.875,1.6899999976158142,1.5799999982118607,65.80499935150146,50.875,0.3399488365277648,2.7490814566612243
native_cost,5505,5.971679663658142,17.840546131134033,62.64500021934509,50.69500026702881,1.6849999755620957,1.6150000035762786,62.64500021934509,50.69500026702881,0.26384798940271137,2.759103524684906
gold_stl_cost,1101,3.089457004982978,21.119697475433348,68.29999976158142,71.4099988937378,1.5699999719858169,2.0450000047683714,1.5699999719858169,2.0450000047683714,0.3777101406827569,3.4010916352272034
gold_stl_cost,2202,3.2189631059765818,20.27566738128662,71.90999898910522,59.36000032424927,1.3849999949336051,1.5500000059604644,1.3849999949336051,1.5500000059604644,0.3751145971938968,3.386131691932678
gold_stl_cost,3303,7.58186795655638,24.225284004211424,61.79499974250793,53.21999969482422,1.800000011175871,1.4650000035762787,1.800000011175871,1.4650000035762787,0.3693099873140454,3.08524694442749
gold_stl_cost,4404,7.981363430246711,25.62384624481201,76.0400001525879,55.985000133514404,1.8649999976158143,1.6599999904632567,1.8649999976158143,1.6599999904632567,0.37806112356483934,3.095987522602081
gold_stl_cost,5505,8.12287704348564,25.190974521636964,75.6450002670288,58.320000076293944,1.8950000077486038,1.5299999833106994,1.8950000077486038,1.5299999833106994,0.3783774277195334,3.1145904421806336
