episode_index,evaluation_seed,episode_length,episode_return,native_cost_total,gold_stl_cost_total,goal_events,goal_success,minimum_distance,trigger_count,recovery_count,late_recovery_count,deadline_violation_count,terminal_unresolved_count,completed_window_count,trace_robustness,online_oracle_agreement,rtamt_max_robustness_difference,condition,training_seed
30,10030,1000.0,22.019654892850667,62.0,1.0,9.0,True,0.007035434246063232,7.0,6.0,0.0,0.0,1.0,6.0,0.12077791690826412,True,0.0,task_only,1101
31,10031,1000.0,23.24025920360873,71.0,2.0,9.0,True,0.02479076385498047,10.0,8.0,1.0,1.0,1.0,9.0,-0.025360631942749068,True,0.0,task_only,1101
32,10032,1000.0,24.486333326150543,21.0,2.0,12.0,True,0.03528714179992676,10.0,8.0,1.0,1.0,1.0,9.0,-0.11356292963027959,True,0.0,task_only,1101
33,10033,1000.0,24.625241633389123,48.0,3.0,12.0,True,0.01772904396057129,6.0,3.0,3.0,3.0,0.0,6.0,-0.1180545568466187,True,0.0,task_only,1101
34,10034,1000.0,23.89408593485814,15.0,1.0,12.0,True,0.073824942111969,3.0,2.0,1.0,1.0,0.0,2.0,-0.06737350225448613,True,0.0,task_only,1101
35,10035,1000.0,24.56458731684188,69.0,4.0,12.0,True,0.040374755859375,7.0,3.0,3.0,3.0,1.0,6.0,-0.07383297681808476,True,0.0,task_only,1101
36,10036,1000.0,27.927391233615708,71.0,2.0,13.0,True,0.026622533798217773,10.0,8.0,1.0,1.0,1.0,9.0,-0.10642199516296391,True,0.0,task_only,1101
37,10037,1000.0,21.646250921749015,12.0,1.0,10.0,True,0.1041644811630249,6.0,5.0,0.0,0.0,1.0,5.0,0.08871300220489498,True,0.0,task_only,1101
38,10038,1000.0,23.468223167405085,48.0,1.0,10.0,True,0.018972694873809814,6.0,5.0,1.0,1.0,0.0,6.0,-0.10340057611465459,True,0.0,task_only,1101
39,10039,1000.0,23.932705295659048,0.0,2.0,11.0,True,0.20888561010360718,7.0,5.0,1.0,1.0,1.0,6.0,-0.05724619626998906,True,0.0,task_only,1101
40,10040,1000.0,25.27394372100389,103.0,2.0,11.0,True,0.016002953052520752,7.0,5.0,2.0,2.0,0.0,7.0,-0.061147558689117476,True,0.0,task_only,1101
41,10041,1000.0,24.76615166235206,88.0,1.0,10.0,True,0.008804619312286377,9.0,8.0,1.0,1.0,0.0,9.0,-0.06998418569564824,True,0.0,task_only,1101
42,10042,1000.0,23.87908070202684,0.0,0.0,13.0,True,0.20364528894424438,2.0,2.0,0.0,0.0,0.0,1.0,0.6246348142623901,True,0.0,task_only,1101
43,10043,1000.0,27.42464950916542,76.0,3.0,14.0,True,0.09236007928848267,5.0,2.0,2.0,2.0,1.0,4.0,-0.10097478628158574,True,0.0,task_only,1101
44,10044,1000.0,23.644052259822274,57.0,2.0,10.0,True,0.014128625392913818,8.0,6.0,2.0,2.0,0.0,8.0,-0.08352200984954838,True,0.0,task_only,1101
45,10045,1000.0,25.490332741468592,63.0,2.0,12.0,True,0.05393028259277344,7.0,5.0,2.0,2.0,0.0,7.0,-0.03972600698471074,True,0.0,task_only,1101
46,10046,1000.0,25.384273054107325,70.0,1.0,11.0,True,0.04071003198623657,4.0,3.0,1.0,1.0,0.0,4.0,-0.03582696914672856,True,0.0,task_only,1101
47,10047,1000.0,26.779998426965903,71.0,1.0,13.0,True,0.06471115350723267,8.0,7.0,1.0,1.0,0.0,7.0,-0.08488814830780034,True,0.0,task_only,1101
48,10048,1000.0,23.51896540880807,30.0,1.0,12.0,True,0.038681209087371826,5.0,4.0,0.0,0.0,1.0,4.0,0.025935006141662553,True,0.0,task_only,1101
49,10049,1000.0,24.574441006778216,80.0,2.0,12.0,True,0.04270899295806885,6.0,4.0,2.0,2.0,0.0,5.0,-0.043221461772918746,True,0.0,task_only,1101
50,10050,1000.0,24.56050132584278,66.0,1.0,10.0,True,0.08933901786804199,8.0,7.0,0.0,1.0,0.0,8.0,-0.03676824569702153,True,0.0,task_only,1101
51,10051,1000.0,23.07198406760108,46.0,2.0,11.0,True,0.012047052383422852,6.0,4.0,2.0,2.0,0.0,6.0,-0.06614451408386235,True,0.0,task_only,1101
52,10052,1000.0,24.464436568356177,28.0,1.0,12.0,True,0.032741010189056396,8.0,7.0,0.0,0.0,1.0,7.0,0.0165463805198669,True,0.0,task_only,1101
53,10053,1000.0,24.335915576324624,71.0,3.0,11.0,True,0.10989010334014893,5.0,2.0,2.0,2.0,1.0,4.0,-0.10032944679260258,True,0.0,task_only,1101
54,10054,1000.0,22.95686535261575,39.0,2.0,10.0,True,0.003536045551300049,7.0,5.0,1.0,1.0,1.0,6.0,-0.07355867624282841,True,0.0,task_only,1101
55,10055,1000.0,22.37521730964272,9.0,0.0,9.0,True,0.15698611736297607,7.0,7.0,0.0,0.0,0.0,7.0,0.10943610668182369,True,0.0,task_only,1101
56,10056,1000.0,26.27532291836542,109.0,1.0,11.0,True,0.007327079772949219,7.0,6.0,1.0,1.0,0.0,6.0,-0.002450811862945601,True,0.0,task_only,1101
57,10057,1000.0,24.487790578597924,55.0,0.0,13.0,True,0.025236010551452637,7.0,7.0,0.0,0.0,0.0,7.0,0.0067153692245482954,True,0.0,task_only,1101
58,10058,1000.0,23.27808223736065,33.0,1.0,11.0,True,0.08926856517791748,5.0,4.0,0.0,0.0,1.0,4.0,0.10047824382781978,True,0.0,task_only,1101
59,10059,1000.0,24.888465773141434,60.0,1.0,12.0,True,0.01071542501449585,9.0,8.0,0.0,0.0,1.0,8.0,0.008104038238525346,True,0.0,task_only,1101
60,10060,1000.0,26.5659829887245,97.0,2.0,14.0,True,0.019836008548736572,7.0,5.0,2.0,2.0,0.0,7.0,-0.11698024272918706,True,0.0,task_only,1101
61,10061,1000.0,25.625633163049315,105.0,2.0,11.0,True,0.013990402221679688,8.0,6.0,2.0,2.0,0.0,7.0,-0.1158306479454041,True,0.0,task_only,1101
62,10062,1000.0,25.102220992110233,57.0,1.0,13.0,True,0.01393800973892212,7.0,6.0,1.0,1.0,0.0,7.0,-0.0635821104049683,True,0.0,task_only,1101
63,10063,1000.0,24.860387245476886,52.0,1.0,13.0,True,0.06454896926879883,8.0,7.0,0.0,1.0,0.0,8.0,-0.029318499565124556,True,0.0,task_only,1101
64,10064,1000.0,19.629081771078745,79.0,0.0,7.0,True,0.024410605430603027,7.0,7.0,0.0,0.0,0.0,7.0,0.15857578516006465,True,0.0,task_only,1101
65,10065,1000.0,24.763267890117277,27.0,0.0,11.0,True,0.06512761116027832,6.0,6.0,0.0,0.0,0.0,6.0,0.116411280632019,True,0.0,task_only,1101
66,10066,1000.0,23.4829864910605,98.0,4.0,10.0,True,0.021966218948364258,7.0,3.0,3.0,3.0,1.0,6.0,-0.028085756301879927,True,0.0,task_only,1101
67,10067,1000.0,25.91514807655767,47.0,2.0,11.0,True,0.07653450965881348,6.0,4.0,2.0,2.0,0.0,6.0,-0.07204376459121709,True,0.0,task_only,1101
68,10068,1000.0,21.36846610248176,99.0,0.0,10.0,True,0.02856910228729248,8.0,8.0,0.0,0.0,0.0,8.0,0.019472134113311723,True,0.0,task_only,1101
69,10069,1000.0,24.84025766343393,28.0,2.0,11.0,True,0.14297765493392944,7.0,5.0,1.0,1.0,1.0,6.0,-0.003931212425231978,True,0.0,task_only,1101
70,10070,1000.0,24.732452724285395,75.0,3.0,11.0,True,0.016077876091003418,9.0,6.0,3.0,3.0,0.0,8.0,-0.10337840318679814,True,0.0,task_only,1101
71,10071,1000.0,26.45789047787639,0.0,0.0,14.0,True,0.24394690990447998,2.0,2.0,0.0,0.0,0.0,2.0,0.10488868951797481,True,0.0,task_only,1101
72,10072,1000.0,22.628411162259,77.0,2.0,10.0,True,0.03055626153945923,9.0,7.0,2.0,2.0,0.0,9.0,-0.10751240253448491,True,0.0,task_only,1101
73,10073,1000.0,26.174316863471176,71.0,1.0,13.0,True,0.03907424211502075,4.0,3.0,1.0,1.0,0.0,4.0,-0.020264077186584517,True,0.0,task_only,1101
74,10074,1000.0,24.797323421742476,48.0,3.0,12.0,True,0.013819098472595215,11.0,8.0,2.0,2.0,1.0,10.0,-0.03394817113876347,True,0.0,task_only,1101
75,10075,1000.0,28.379503614040914,27.0,0.0,15.0,True,0.0393218994140625,7.0,7.0,0.0,0.0,0.0,7.0,0.05093694925308223,True,0.0,task_only,1101
76,10076,1000.0,24.522772102811814,99.0,1.0,10.0,True,0.011262595653533936,8.0,7.0,1.0,1.0,0.0,7.0,-0.006428885459899947,True,0.0,task_only,1101
77,10077,1000.0,27.05981919005444,38.0,0.0,14.0,True,0.1064751148223877,10.0,10.0,0.0,0.0,0.0,9.0,0.023788702487945512,True,0.0,task_only,1101
78,10078,1000.0,22.326796792719506,56.0,2.0,10.0,True,0.03774726390838623,5.0,3.0,2.0,2.0,0.0,4.0,-0.0893186211585999,True,0.0,task_only,1101
79,10079,1000.0,24.35985646124027,36.0,0.0,12.0,True,0.012153267860412598,4.0,4.0,0.0,0.0,0.0,4.0,0.11614323854446407,True,0.0,task_only,1101
80,10080,1000.0,25.10233804466543,62.0,1.0,11.0,True,0.006927788257598877,8.0,7.0,1.0,1.0,0.0,7.0,-0.11402105093002324,True,0.0,task_only,1101
81,10081,1000.0,26.412901012581642,44.0,3.0,14.0,True,0.07244002819061279,6.0,3.0,3.0,3.0,0.0,5.0,-0.11280440092086796,True,0.0,task_only,1101
82,10082,1000.0,26.195966324205074,77.0,0.0,12.0,True,0.026026368141174316,8.0,8.0,0.0,0.0,0.0,8.0,0.11486436128616329,True,0.0,task_only,1101
83,10083,1000.0,23.872507328795564,26.0,1.0,11.0,True,0.10493570566177368,12.0,11.0,0.0,0.0,1.0,11.0,0.05359716415405269,True,0.0,task_only,1101
84,10084,1000.0,23.346465050361076,98.0,2.0,9.0,True,0.06913894414901733,8.0,6.0,2.0,2.0,0.0,8.0,-0.10618631839752202,True,0.0,task_only,1101
85,10085,1000.0,20.17506802912976,105.0,3.0,8.0,True,0.06067979335784912,9.0,6.0,2.0,2.0,1.0,8.0,-0.10325144529342656,True,0.0,task_only,1101
86,10086,1000.0,19.27447568432126,12.0,1.0,9.0,True,0.11219984292984009,4.0,3.0,1.0,1.0,0.0,4.0,-0.003713595867157027,True,0.0,task_only,1101
87,10087,1000.0,24.952260203983315,87.0,2.0,12.0,True,0.042319536209106445,8.0,6.0,1.0,1.0,1.0,7.0,-0.11014436483383183,True,0.0,task_only,1101
88,10088,1000.0,22.495886253349454,90.0,3.0,9.0,True,0.022108376026153564,7.0,4.0,2.0,2.0,1.0,6.0,-0.10916178226470952,True,0.0,task_only,1101
89,10089,1000.0,23.754851721438172,43.0,3.0,11.0,True,0.0633804202079773,8.0,5.0,3.0,3.0,0.0,8.0,-0.10531567335128789,True,0.0,task_only,1101
90,10090,1000.0,25.66526340629025,17.0,3.0,13.0,True,0.15812355279922485,6.0,3.0,3.0,3.0,0.0,6.0,-0.10491513013839726,True,0.0,task_only,1101
91,10091,1000.0,24.757962260964632,0.0,0.0,13.0,True,0.216605544090271,5.0,5.0,0.0,0.0,0.0,4.0,0.1449791312217712,True,0.0,task_only,1101
92,10092,1000.0,24.84365392662039,68.0,2.0,11.0,True,0.028045177459716797,9.0,7.0,1.0,1.0,1.0,8.0,-0.028787958621978804,True,0.0,task_only,1101
93,10093,1000.0,23.70623148620507,29.0,0.0,11.0,True,0.05171012878417969,5.0,5.0,0.0,0.0,0.0,5.0,0.05110896825790401,True,0.0,task_only,1101
94,10094,1000.0,27.673942489011097,11.0,0.0,15.0,True,0.11502689123153687,3.0,3.0,0.0,0.0,0.0,3.0,0.06552745103836055,True,0.0,task_only,1101
95,10095,1000.0,25.53127514873995,60.0,2.0,12.0,True,0.06617385149002075,7.0,5.0,1.0,1.0,1.0,6.0,-0.003082203865051314,True,0.0,task_only,1101
96,10096,1000.0,23.385635176524374,62.0,1.0,12.0,True,0.006838023662567139,7.0,6.0,1.0,1.0,0.0,6.0,-0.0824097871780396,True,0.0,task_only,1101
97,10097,1000.0,23.015691928772867,27.0,0.0,11.0,True,0.062188804149627686,7.0,7.0,0.0,0.0,0.0,7.0,0.16682053804397579,True,0.0,task_only,1101
98,10098,1000.0,24.530587829078286,69.0,1.0,12.0,True,0.00862044095993042,7.0,6.0,1.0,1.0,0.0,7.0,-0.032837200164794966,True,0.0,task_only,1101
99,10099,1000.0,25.793605071638012,79.0,3.0,12.0,True,0.04953378438949585,9.0,6.0,3.0,3.0,0.0,8.0,-0.11676441431045537,True,0.0,task_only,1101
0,10000,1000.0,18.3142503218578,20.0,1.0,8.0,True,0.11014652252197266,8.0,7.0,0.0,0.0,1.0,7.0,0.07022900581359859,True,0.0,task_only,2202
1,10001,1000.0,17.589651704131484,58.0,2.0,8.0,True,0.09030032157897949,4.0,2.0,2.0,2.0,0.0,4.0,-0.03933315277099614,True,0.0,task_only,2202
2,10002,1000.0,18.68811957331127,100.0,4.0,9.0,True,0.02829355001449585,4.0,0.0,3.0,3.0,1.0,3.0,-0.11466174125671391,True,0.0,task_only,2202
3,10003,1000.0,21.145793276318727,125.0,3.0,10.0,True,0.027448832988739014,4.0,1.0,2.0,2.0,1.0,3.0,-0.08793656826019292,True,0.0,task_only,2202
