condition,episode_index,evaluation_seed,episode_length,episode_return,native_cost_total,gold_stl_cost_total,goal_events,goal_success,minimum_distance,trigger_count,recovery_count,late_recovery_count,deadline_violation_count,terminal_unresolved_count,on_time_recovery_latency_sum,deadline_violation_delay_sum,terminal_unresolved_delay_sum,positive_cost_step_count,completed_window_count,trace_robustness,online_oracle_agreement,rtamt_max_robustness_difference
task_only,35,49236,1000,35.53998708189465,0.0,0,13,True,0.20355552434921265,3,3,0,0,0,34,0,0,0,3,0.21119794368743894,True,0.0
task_only,36,49237,1000,35.788477178895846,2.0,0,13,True,0.19910502433776855,4,4,0,0,0,39,0,0,0,4,0.20783499002456662,True,0.0
task_only,37,49238,1000,35.99058885185514,4.0,0,13,True,0.1947873830795288,4,4,0,0,0,36,0,0,0,4,0.20203605413436887,True,0.0
task_only,38,49239,1000,35.74575589771848,6.0,0,13,True,0.1864122748374939,2,2,0,0,0,26,0,0,0,2,0.1971265387535095,True,0.0
task_only,39,49240,1000,35.668515286408365,6.0,0,13,True,0.18652081489562988,3,3,0,0,0,27,0,0,0,3,0.18678948402404782,True,0.0
task_only,40,49241,1000,35.45571405743249,0.0,0,13,True,0.20132535696029663,3,3,0,0,0,32,0,0,0,3,0.2144217801094055,True,0.0
task_only,41,49242,1000,35.780222787172534,6.0,0,13,True,0.18862706422805786,4,4,0,0,0,40,0,0,0,4,0.20231804370880124,True,0.0
task_only,42,49243,1000,35.6302741211839,0.0,0,13,True,0.2087607979774475,2,2,0,0,0,22,0,0,0,2,0.21116164445877073,True,0.0
task_only,43,49244,1000,35.57776864862535,6.0,0,13,True,0.18705976009368896,4,4,0,0,0,45,0,0,0,4,0.192861111164093,True,0.0
task_only,44,49245,1000,35.866423171479255,0.0,0,13,True,0.21134412288665771,4,4,0,0,0,37,0,0,0,4,0.2095115494728088,True,0.0
task_only,45,49246,1000,35.76669768965803,1.0,0,13,True,0.19975680112838745,3,3,0,0,0,25,0,0,0,3,0.2146199059486389,True,0.0
task_only,46,49247,1000,35.80868338083383,0.0,0,13,True,0.20810741186141968,2,2,0,0,0,18,0,0,0,2,0.20205178976058957,True,0.0
task_only,47,49248,1000,35.469991385867615,5.0,0,13,True,0.18862313032150269,3,3,0,0,0,34,0,0,0,3,0.21138069152832029,True,0.0
task_only,48,49249,1000,35.70771858768421,6.0,0,13,True,0.18648219108581543,3,3,0,0,0,34,0,0,0,3,0.19091382741928098,True,0.0
task_only,49,49250,1000,35.30770854675211,5.0,0,13,True,0.18959730863571167,3,3,0,0,0,34,0,0,0,3,0.19727531194686887,True,0.0
task_only,50,49251,1000,35.6595213675173,0.0,0,13,True,0.20309096574783325,4,4,0,0,0,37,0,0,0,4,0.19767281532287595,True,0.0
task_only,51,49252,1000,35.8345083767781,0.0,0,13,True,0.21867585182189941,2,2,0,0,0,20,0,0,0,2,0.2169341158866882,True,0.0
task_only,52,49253,1000,35.81819501216523,0.0,0,13,True,0.20622342824935913,3,3,0,0,0,32,0,0,0,3,0.2092744421958923,True,0.0
task_only,53,49254,1000,35.8060061520664,4.0,0,13,True,0.19429278373718262,3,3,0,0,0,29,0,0,0,3,0.20370099067687986,True,0.0
task_only,54,49255,1000,35.78560107003432,5.0,0,13,True,0.19349169731140137,2,2,0,0,0,27,0,0,0,2,0.20223543167114255,True,0.0
task_only,55,49256,1000,35.76972262794152,0.0,0,13,True,0.2064821720123291,3,3,0,0,0,26,0,0,0,3,0.2119943809509277,True,0.0
task_only,56,49257,1000,35.90937948611099,0.0,0,13,True,0.20756793022155762,1,1,0,0,0,14,0,0,0,1,0.21217033386230466,True,0.0
task_only,57,49258,1000,35.77936133381445,0.0,0,13,True,0.21494793891906738,3,3,0,0,0,27,0,0,0,3,0.20863232135772702,True,0.0
task_only,58,49259,1000,35.79520634072833,0.0,0,13,True,0.213209331035614,4,4,0,0,0,35,0,0,0,4,0.2115242791175842,True,0.0
task_only,59,49260,1000,35.870192088070326,0.0,0,13,True,0.2018280029296875,1,1,0,0,0,14,0,0,0,1,0.21088180065155027,True,0.0
task_only,60,49261,1000,35.71835549575917,6.0,0,13,True,0.18301373720169067,3,3,0,0,0,33,0,0,0,3,0.21148297309875486,True,0.0
task_only,61,49262,1000,35.1424832039047,6.0,0,13,True,0.1872970461845398,3,3,0,0,0,25,0,0,0,3,0.19519356012344358,True,0.0
task_only,62,49263,1000,35.719171968637966,2.0,0,13,True,0.19884520769119263,3,3,0,0,0,26,0,0,0,3,0.2045895171165466,True,0.0
task_only,63,49264,1000,35.61448718467727,0.0,0,13,True,0.21101617813110352,2,2,0,0,0,27,0,0,0,2,0.19936224937438962,True,0.0
task_only,64,49265,1000,35.72442123689689,0.0,0,13,True,0.21895068883895874,2,2,0,0,0,23,0,0,0,2,0.2237635564804077,True,0.0
task_only,65,49266,1000,35.925360524561256,4.0,0,13,True,0.19595593214035034,4,4,0,0,0,39,0,0,0,4,0.20379093408584592,True,0.0
task_only,66,49267,1000,34.054510509828106,6.0,0,12,True,0.1855282187461853,1,1,0,0,0,16,0,0,0,1,0.19409546375274656,True,0.0
task_only,67,49268,1000,35.77208175242413,7.0,0,13,True,0.1806471347808838,2,2,0,0,0,26,0,0,0,2,0.18457397937774656,True,0.0
task_only,68,49269,1000,35.66140667760919,0.0,0,13,True,0.21788638830184937,3,3,0,0,0,27,0,0,0,3,0.21272161722183225,True,0.0
task_only,69,49270,1000,35.82439302500279,0.0,0,13,True,0.20521420240402222,3,3,0,0,0,27,0,0,0,3,0.21049001932144162,True,0.0
task_only,70,49271,1000,35.830101021099836,5.0,0,13,True,0.18759119510650635,2,2,0,0,0,24,0,0,0,2,0.1853586149215698,True,0.0
task_only,71,49272,1000,35.81576273555402,0.0,0,13,True,0.20150238275527954,2,2,0,0,0,23,0,0,0,2,0.2129719567298889,True,0.0
task_only,72,49273,1000,35.83676108031068,3.0,0,13,True,0.19698089361190796,2,2,0,0,0,21,0,0,0,2,0.20564058542251584,True,0.0
task_only,73,49274,1000,35.67254404351115,12.0,0,13,True,0.18330949544906616,3,3,0,0,0,37,0,0,0,3,0.19085481882095334,True,0.0
task_only,74,49275,1000,35.81519595393911,6.0,0,13,True,0.18702399730682373,3,3,0,0,0,30,0,0,0,3,0.19051382064819333,True,0.0
task_only,75,49276,1000,35.757649224600755,2.0,0,13,True,0.19775712490081787,2,2,0,0,0,26,0,0,0,2,0.20817598819732663,True,0.0
task_only,76,49277,1000,35.46959922823589,6.0,0,13,True,0.18143552541732788,4,4,0,0,0,40,0,0,0,4,0.2132829141616821,True,0.0
task_only,77,49278,1000,35.757780867861584,0.0,0,13,True,0.20940202474594116,2,2,0,0,0,22,0,0,0,2,0.2158771467208862,True,0.0
task_only,78,49279,1000,35.399971473409096,14.0,0,13,True,0.1715712547302246,4,4,0,0,0,47,0,0,0,4,0.10806879520416257,True,0.0
task_only,79,49280,1000,35.89665505196899,0.0,0,13,True,0.20308935642242432,4,4,0,0,0,34,0,0,0,4,0.2114121627807617,True,0.0
task_only,80,49281,1000,35.498578020138666,7.0,0,13,True,0.17538732290267944,4,4,0,0,0,49,0,0,0,4,0.10212162256240842,True,0.0
task_only,81,49282,1000,35.85320430470165,5.0,0,13,True,0.19210195541381836,2,2,0,0,0,20,0,0,0,2,0.19744143009185788,True,0.0
task_only,82,49283,1000,35.93967781064566,0.0,0,13,True,0.21028786897659302,2,2,0,0,0,21,0,0,0,2,0.21199008941650388,True,0.0
task_only,83,49284,1000,35.76342476939317,0.0,0,13,True,0.2096017599105835,1,1,0,0,0,14,0,0,0,1,0.21145168066024778,True,0.0
task_only,84,49285,1000,35.82303535658866,4.0,0,13,True,0.19428151845932007,3,3,0,0,0,28,0,0,0,3,0.20230624198913572,True,0.0
task_only,85,49286,1000,35.49324029669515,0.0,0,13,True,0.20616227388381958,3,3,0,0,0,30,0,0,0,3,0.17974832773208615,True,0.0
task_only,86,49287,1000,35.46951014990918,0.0,0,13,True,0.21311384439468384,4,4,0,0,0,40,0,0,0,4,0.20777186870574949,True,0.0
task_only,87,49288,1000,35.719999773660675,6.0,0,13,True,0.18894821405410767,1,1,0,0,0,16,0,0,0,1,0.18564453840255735,True,0.0
task_only,88,49289,1000,35.86334496026393,0.0,0,13,True,0.20360076427459717,2,2,0,0,0,22,0,0,0,2,0.21015599489212033,True,0.0
task_only,89,49290,1000,35.682058645412326,0.0,0,13,True,0.20053178071975708,3,3,0,0,0,32,0,0,0,3,0.20759931325912473,True,0.0
task_only,90,49291,1000,35.93737717811018,0.0,0,13,True,0.20873719453811646,2,2,0,0,0,21,0,0,0,2,0.20407310247421262,True,0.0
task_only,91,49292,1000,35.69005904032383,0.0,0,13,True,0.22808682918548584,2,2,0,0,0,17,0,0,0,2,0.21717676639556882,True,0.0
