condition,training_seed,episode_index,evaluation_seed,episode_length,episode_return,native_cost_total,gold_stl_cost_total,goal_events,goal_success,minimum_distance,trigger_count,recovery_count,late_recovery_count,deadline_violation_count,terminal_unresolved_count,on_time_recovery_latency_sum,deadline_violation_delay_sum,terminal_unresolved_delay_sum,positive_cost_step_count,completed_window_count,trace_robustness,online_oracle_agreement,rtamt_max_robustness_difference
task_only,1101,33,10033,1000,24.625241633389123,48.0,3,12,True,0.01772904396057129,6,3,3,3,0,130,237,0,3,6,-0.1180545568466187,True,0.0
task_only,1101,34,10034,1000,23.89408593485814,15.0,1,12,True,0.073824942111969,3,2,1,1,0,121,79,0,1,2,-0.06737350225448613,True,0.0
task_only,1101,35,10035,1000,24.56458731684188,69.0,4,12,True,0.040374755859375,7,3,3,3,1,106,237,32,4,6,-0.07383297681808476,True,0.0
task_only,1101,36,10036,1000,27.927391233615708,71.0,2,13,True,0.026622533798217773,10,8,1,1,1,350,79,20,2,9,-0.10642199516296391,True,0.0
task_only,1101,37,10037,1000,21.646250921749015,12.0,1,10,True,0.1041644811630249,6,5,0,0,1,201,0,3,1,5,0.08871300220489498,True,0.0
task_only,1101,38,10038,1000,23.468223167405085,48.0,1,10,True,0.018972694873809814,6,5,1,1,0,197,79,0,1,6,-0.10340057611465459,True,0.0
task_only,1101,39,10039,1000,23.932705295659048,0.0,2,11,True,0.20888561010360718,7,5,1,1,1,194,79,26,2,6,-0.05724619626998906,True,0.0
task_only,1101,40,10040,1000,25.27394372100389,103.0,2,11,True,0.016002953052520752,7,5,2,2,0,240,158,0,2,7,-0.061147558689117476,True,0.0
task_only,1101,41,10041,1000,24.76615166235206,88.0,1,10,True,0.008804619312286377,9,8,1,1,0,290,79,0,1,9,-0.06998418569564824,True,0.0
task_only,1101,42,10042,1000,23.87908070202684,0.0,0,13,True,0.20364528894424438,2,2,0,0,0,66,0,0,0,1,0.6246348142623901,True,0.0
task_only,1101,43,10043,1000,27.42464950916542,76.0,3,14,True,0.09236007928848267,5,2,2,2,1,85,158,64,3,4,-0.10097478628158574,True,0.0
task_only,1101,44,10044,1000,23.644052259822274,57.0,2,10,True,0.014128625392913818,8,6,2,2,0,291,158,0,2,8,-0.08352200984954838,True,0.0
task_only,1101,45,10045,1000,25.490332741468592,63.0,2,12,True,0.05393028259277344,7,5,2,2,0,221,158,0,2,7,-0.03972600698471074,True,0.0
task_only,1101,46,10046,1000,25.384273054107325,70.0,1,11,True,0.04071003198623657,4,3,1,1,0,172,79,0,1,4,-0.03582696914672856,True,0.0
task_only,1101,47,10047,1000,26.779998426965903,71.0,1,13,True,0.06471115350723267,8,7,1,1,0,256,79,0,1,7,-0.08488814830780034,True,0.0
task_only,1101,48,10048,1000,23.51896540880807,30.0,1,12,True,0.038681209087371826,5,4,0,0,1,194,0,52,1,4,0.025935006141662553,True,0.0
task_only,1101,49,10049,1000,24.574441006778216,80.0,2,12,True,0.04270899295806885,6,4,2,2,0,174,158,0,2,5,-0.043221461772918746,True,0.0
task_only,1101,50,10050,1000,24.56050132584278,66.0,1,10,True,0.08933901786804199,8,7,0,1,0,344,79,0,1,8,-0.03676824569702153,True,0.0
task_only,1101,51,10051,1000,23.07198406760108,46.0,2,11,True,0.012047052383422852,6,4,2,2,0,191,158,0,2,6,-0.06614451408386235,True,0.0
task_only,1101,52,10052,1000,24.464436568356177,28.0,1,12,True,0.032741010189056396,8,7,0,0,1,249,0,51,1,7,0.0165463805198669,True,0.0
task_only,1101,53,10053,1000,24.335915576324624,71.0,3,11,True,0.10989010334014893,5,2,2,2,1,87,158,24,3,4,-0.10032944679260258,True,0.0
task_only,1101,54,10054,1000,22.95686535261575,39.0,2,10,True,0.003536045551300049,7,5,1,1,1,214,79,58,2,6,-0.07355867624282841,True,0.0
task_only,1101,55,10055,1000,22.37521730964272,9.0,0,9,True,0.15698611736297607,7,7,0,0,0,266,0,0,0,7,0.10943610668182369,True,0.0
task_only,1101,56,10056,1000,26.27532291836542,109.0,1,11,True,0.007327079772949219,7,6,1,1,0,279,79,0,1,6,-0.002450811862945601,True,0.0
task_only,1101,57,10057,1000,24.487790578597924,55.0,0,13,True,0.025236010551452637,7,7,0,0,0,327,0,0,0,7,0.0067153692245482954,True,0.0
task_only,1101,58,10058,1000,23.27808223736065,33.0,1,11,True,0.08926856517791748,5,4,0,0,1,147,0,21,1,4,0.10047824382781978,True,0.0
task_only,1101,59,10059,1000,24.888465773141434,60.0,1,12,True,0.01071542501449585,9,8,0,0,1,294,0,48,1,8,0.008104038238525346,True,0.0
task_only,1101,60,10060,1000,26.5659829887245,97.0,2,14,True,0.019836008548736572,7,5,2,2,0,258,158,0,2,7,-0.11698024272918706,True,0.0
task_only,1101,61,10061,1000,25.625633163049315,105.0,2,11,True,0.013990402221679688,8,6,2,2,0,252,158,0,2,7,-0.1158306479454041,True,0.0
task_only,1101,62,10062,1000,25.102220992110233,57.0,1,13,True,0.01393800973892212,7,6,1,1,0,223,79,0,1,7,-0.0635821104049683,True,0.0
task_only,1101,63,10063,1000,24.860387245476886,52.0,1,13,True,0.06454896926879883,8,7,0,1,0,297,79,0,1,8,-0.029318499565124556,True,0.0
task_only,1101,64,10064,1000,19.629081771078745,79.0,0,7,True,0.024410605430603027,7,7,0,0,0,274,0,0,0,7,0.15857578516006465,True,0.0
task_only,1101,65,10065,1000,24.763267890117277,27.0,0,11,True,0.06512761116027832,6,6,0,0,0,300,0,0,0,6,0.116411280632019,True,0.0
task_only,1101,66,10066,1000,23.4829864910605,98.0,4,10,True,0.021966218948364258,7,3,3,3,1,139,237,70,4,6,-0.028085756301879927,True,0.0
task_only,1101,67,10067,1000,25.91514807655767,47.0,2,11,True,0.07653450965881348,6,4,2,2,0,138,158,0,2,6,-0.07204376459121709,True,0.0
task_only,1101,68,10068,1000,21.36846610248176,99.0,0,10,True,0.02856910228729248,8,8,0,0,0,386,0,0,0,8,0.019472134113311723,True,0.0
task_only,1101,69,10069,1000,24.84025766343393,28.0,2,11,True,0.14297765493392944,7,5,1,1,1,172,79,49,2,6,-0.003931212425231978,True,0.0
task_only,1101,70,10070,1000,24.732452724285395,75.0,3,11,True,0.016077876091003418,9,6,3,3,0,317,237,0,3,8,-0.10337840318679814,True,0.0
